"Profile_key","Age","T_stage","N_stage","M_stage","Surgery","Radiation","Risk_36m","Risk_60m","Risk_120m","Linear_predictor"
"55-69|T2|N1|M0|Yes|Yes","55-69","T2","N1","M0","Yes","Yes",0.0416616942579003,0.0666246725881618,0.123235563703443,1.36651977909116
">=70|T2|N1|M0|Yes|Yes",">=70","T2","N1","M0","Yes","Yes",0.0989478360069477,0.155334863470052,0.275310376059028,2.26197248817922
"<55|T3|N1|M0|Yes|Yes","<55","T3","N1","M0","Yes","Yes",0.0480075780284912,0.0766180494510926,0.141054588330248,1.51159304023731
"55-69|T3|N1|M0|Yes|Yes","55-69","T3","N1","M0","Yes","Yes",0.0747276357623063,0.118242745091049,0.213399511074868,1.96816813513096
">=70|T3|N1|M0|Yes|Yes",">=70","T3","N1","M0","Yes","Yes",0.173176173065591,0.265164395948432,0.444402824979419,2.86362084421902
"<55|T4|N1|M0|Yes|Yes","<55","T4","N1","M0","Yes","Yes",0.0767527697994304,0.121367489084855,0.218708127932885,1.99598879347492
"55-69|T4|N1|M0|Yes|Yes","55-69","T4","N1","M0","Yes","Yes",0.118445826687308,0.184749830822492,0.322687840232774,2.45256388836858
">=70|T4|N1|M0|Yes|Yes",">=70","T4","N1","M0","Yes","Yes",0.265578709791468,0.393541994886602,0.614791346184696,3.34801659745664
"<55|T1|N0|M1|Yes|Yes","<55","T1","N0","M1","Yes","Yes",0.0368040958485526,0.0589472234994959,0.109427850674331,1.24003569399085
"55-69|T1|N0|M1|Yes|Yes","55-69","T1","N0","M1","Yes","Yes",0.0574791494830816,0.0914569719474063,0.167192286762174,1.69661078888451
">=70|T1|N0|M1|Yes|Yes",">=70","T1","N0","M1","Yes","Yes",0.134926771918393,0.209300815772495,0.361062696155458,2.59206349797257
"<55|T2|N0|M1|Yes|Yes","<55","T2","N0","M1","Yes","Yes",0.0547631460431396,0.087211276768587,0.159753047237404,1.64678107720587
"55-69|T2|N0|M1|Yes|Yes","55-69","T2","N0","M1","Yes","Yes",0.0850717315702298,0.134158884363368,0.240260995009898,2.10335617209953
">=70|T2|N0|M1|Yes|Yes",">=70","T2","N0","M1","Yes","Yes",0.195625404376738,0.29721748110755,0.489714147884893,2.99880888118758
"<55|T3|N0|M1|Yes|Yes","<55","T3","N0","M1","Yes","Yes",0.0976840651282055,0.153414568362613,0.272164483256532,2.24842943324567
"55-69|T3|N0|M1|Yes|Yes","55-69","T3","N0","M1","Yes","Yes",0.149789349194796,0.231193727707638,0.394383522659677,2.70500452813933
">=70|T3|N0|M1|Yes|Yes",">=70","T3","N0","M1","Yes","Yes",0.327875564686141,0.474673727855225,0.707097398276915,3.60045723722738
"<55|T4|N0|M1|Yes|Yes","<55","T4","N0","M1","Yes","Yes",0.15367261135756,0.236875022529431,0.402891568826016,2.73282518648328
"55-69|T4|N0|M1|Yes|Yes","55-69","T4","N0","M1","Yes","Yes",0.231563630783025,0.347382496979524,0.556937894900386,3.18940028137694
">=70|T4|N0|M1|Yes|Yes",">=70","T4","N0","M1","Yes","Yes",0.475292369239972,0.648275797467397,0.86373372084643,4.084852990465
"<55|T1|N1|M1|Yes|Yes","<55","T1","N1","M1","Yes","Yes",0.10811788613921,0.169218649801906,0.297862283955023,2.35562329165043
"55-69|T1|N1|M1|Yes|Yes","55-69","T1","N1","M1","Yes","Yes",0.165257612019796,0.253728082901237,0.42779276510644,2.81219838654409
">=70|T1|N1|M1|Yes|Yes",">=70","T1","N1","M1","Yes","Yes",0.357422356186235,0.511577493116282,0.745092303574306,3.70765109563214
"<55|T2|N1|M1|Yes|Yes","<55","T2","N1","M1","Yes","Yes",0.157896077188775,0.243035712898119,0.412052792603678,2.76236867486544
"55-69|T2|N1|M1|Yes|Yes","55-69","T2","N1","M1","Yes","Yes",0.237608662644197,0.355680311649855,0.567621469504079,3.2189437697591
">=70|T2|N1|M1|Yes|Yes",">=70","T2","N1","M1","Yes","Yes",0.485341299214595,0.659124742467295,0.8716388194435,4.11439647884716
"<55|T3|N1|M1|Yes|Yes","<55","T3","N1","M1","Yes","Yes",0.269226025134169,0.398414307750568,0.620673071622419,3.36401703090524
"55-69|T3|N1|M1|Yes|Yes","55-69","T3","N1","M1","Yes","Yes",0.390519152652976,0.55168193501018,0.783525579801053,3.8205921257989
">=70|T3|N1|M1|Yes|Yes",">=70","T3","N1","M1","Yes","Yes",0.702500142653975,0.859741746216784,0.976407157967882,4.71604483488696
"<55|T4|N1|M1|Yes|Yes","<55","T4","N1","M1","Yes","Yes",0.398973648601227,0.561714557883485,0.792672188701815,3.84841278414286
"55-69|T4|N1|M1|Yes|Yes","55-69","T4","N1","M1","Yes","Yes",0.552339799526265,0.728070134612373,0.916586562095799,4.30498787903652
">=70|T4|N1|M1|Yes|Yes",">=70","T4","N1","M1","Yes","Yes",0.860245139179736,0.958761826159922,0.997715943518037,5.20044058812457
